day,planned_date,channels,format,topic,asset_or_visual,status,paid_bridge
1,2026-06-15,Facebook Reel + Instagram Reel,Reel,Soccer Dad legacy,exports/rough-cuts/ELC_2026_Q2_TOF_SoccerDad_Legacy_9x16_v01_rough.mp4,Needs creative and compliance review,Organic evidence first
2,2026-06-16,Facebook + Instagram,Static/text,Why pricing differs,Quote card,Copy ready draft,Education only
3,2026-06-17,Facebook + Instagram,Static/text,What happens after a request,Four-step process graphic,Copy ready draft,How It Works source
4,2026-06-18,Facebook Reel + Instagram Reel,Reel,Chef Daughter legacy,exports/rough-cuts/ELC_2026_Q2_TOF_ChefDaughter_Legacy_9x16_v01_rough.mp4,Needs creative and compliance review,Organic evidence first
5,2026-06-19,Facebook + Instagram,Static/text,Term life in plain English,Timeline graphic,Copy ready draft,Education only
6,2026-06-20,Facebook + Instagram,Static/text,Brokerage versus one carrier,Option-card graphic,Copy ready draft,Trust
7,2026-06-21,Facebook Reel + Instagram Reel,Reel,Tree Keeps Growing,exports/rough-cuts/ELC_2026_Q2_TOF_TreeKeepsGrowing_9x16_v01_rough.mp4,Needs creative and compliance review,Organic evidence first
8,2026-06-22,Facebook + Instagram,Static/text,Mortgage protection versus PMI,Split comparison graphic,Copy ready draft,Education only
9,2026-06-23,Facebook + Instagram,Static/text,Meet Sarah,Approved Sarah image,Copy ready draft,Trust
10,2026-06-24,Facebook Reel + Instagram Reel,Reel,Graduation legacy,exports/rough-cuts/ELC_2026_Q2_TOF_Graduation_Legacy_9x16_v01_rough.mp4,Needs creative and compliance review,Organic evidence first
11,2026-06-25,Facebook Reel + Instagram Reel,Reel,Final expense clarity,exports/rough-cuts/ELC_2026_Q2_MOF_FinalExpense_Clarity_9x16_v01_rough.mp4,Needs creative and compliance review,Warm education after review
12,2026-06-26,Facebook + Instagram,Static/text,Why Evermore does not promise approval,Trust quote card,Copy ready draft,Trust
13,2026-06-27,Facebook + Instagram,Static/text,Review before replacing coverage,Comparison checklist,Copy ready draft,Education only
14,2026-06-28,Facebook + Instagram,Static/text,Love keeps growing,Family and tree visual,Copy ready draft,Story
15,2026-06-29,Facebook + Instagram,Static/text,IUL details matter,Educational details card,Copy ready draft,Education only
16,2026-06-30,Facebook + Instagram,Static/text,Five coverage-review questions,Five-question carousel,Copy ready draft,How It Works source
17,2026-07-01,Facebook + Instagram,Static/text,The family folder,Family folder visual,Copy ready draft,Story
18,2026-07-02,Facebook + Instagram,Static/text,Age and available options,Neutral timeline,Copy ready draft,Education only
19,2026-07-03,Facebook + Instagram,Static/text,What a licensed professional reviews,Three-column card,Copy ready draft,Trust
20,2026-07-04,Facebook + Instagram,Static/text,Term versus permanent,Balanced comparison card,Copy ready draft,Education only
21,2026-07-05,Facebook + Instagram,Static/text,Protection is another way to show up,Parenting visual,Copy ready draft,Story
22,2026-07-06,Facebook + Instagram,Static/text,Arizona and Texas service scope,AZ and TX map graphic,Copy ready draft,Local trust
23,2026-07-07,Facebook + Instagram,Static/text,Underwriting in plain English,Three-step flow,Copy ready draft,Education only
24,2026-07-08,Facebook + Instagram,Static/text,Before-sunrise parent,Early-shift visual,Copy ready draft,Story
25,2026-07-09,Facebook + Instagram,Static/text,Health history and available options,Trust quote card,Copy ready draft,Education only
26,2026-07-10,Facebook + Instagram,Static/text,No-pressure first call,Phone-call visual,Copy ready draft,Trust
27,2026-07-11,Facebook + Instagram,Static/text,Budget is a planning input,Planning worksheet,Copy ready draft,Education only
28,2026-07-12,Facebook + Instagram,Static/text,Acorn to oak,Three-frame carousel,Copy ready draft,Story
29,2026-07-13,Facebook + Instagram,Static/text,What Evermore will never promise,Trust card,Copy ready draft,Trust
30,2026-07-14,Facebook + Instagram,Static/text,Five questions to ask about coverage,Five-question carousel,Copy ready draft,Education recap
